,3. Total Assets,Securities,U.S. Government Securities,U.S. Treasury Securities,U.S. Government Obligations (footnote: 1,Residential Mortgage Backed: Pass-Through Issued by F.N.M.A. and F.H.L.M.C.,Residential Mortgage Backed: Pass-Through Issued by G.N.M.A.,Collateralized Mortgage Obligations (CMOs) and REMICS Issued by U.S. Government Agencies or Sponsored Agencies,"Commercial Mortgage-Backed Pass-Through Securities Issued or Guaranteed by F.N.M.A., F.H.L.M.C., or G.N.M.A.",Commercial Mortgage-Backed Other Securities Issued or Guaranteed by U.S. Government Agencies or Sponsored Agencies,Other Commercial Mortgage-Backed Securities,Asset Backed Securities,Foreign Debt Securities,Mortgage-Backed Securities
3,24098064929.0,5585105117.0,4483966776.0,1492336079.0,2991630697.0,1526542783.0,497230866.0,489367883.0,201508705.0,137095574.0,54505686.0,82175862.0,272277079.0,2964233371.0
9,23886927380.0,5457854694.0,4331129226.0,1382312300.0,2948816926.0,1527829166.0,459379691.0,475355602.0,186943481.0,147530200.0,56522529.0,91869945.0,266451093.0,2910487601.0
15,23666568825.0,5434716420.0,4267595713.0,1309614682.0,2957981031.0,1575727956.0,430008251.0,460927068.0,181984240.0,151407647.0,59568974.0,102600434.0,251100770.0,2921473869.0
21,23461009560.0,5436071453.0,4251388433.0,1247655989.0,3003732444.0,1628007362.0,401862624.0,474934797.0,183689537.0,150288224.0,60494713.0,103107925.0,245334514.0,2962404840.0
27,23595503590.0,5883582796.0,4630865559.0,1434271816.0,3196593743.0,1757296677.0,392279344.0,512229706.0,187551494.0,171902486.0,62500287.0,117291128.0,251467348.0,3150181642.0
33,23717494849.0,6148305475.0,4931052997.0,1510731031.0,3420321966.0,1874696193.0,380837250.0,539042977.0,215368842.0,233994404.0,66281861.0,125431318.0,245214335.0,3379235205.0
39,23719744572.0,6245863400.0,5043672092.0,1443819154.0,3599852938.0,2006711106.0,352295762.0,574944764.0,222246201.0,275226790.0,62709258.0,125310977.0,256146856.0,3557075824.0
45,22774194925.0,5728105869.0,4602114290.0,1168838483.0,3433275807.0,1898130844.0,350838465.0,552620290.0,219641564.0,260677206.0,55613037.0,116915734.0,268942477.0,3386813022.0
51,21868541076.0,5112349671.0,4044003142.0,966878831.0,3077124311.0,1579182435.0,386424414.0,544850875.0,200231386.0,237618206.0,49778382.0,111212756.0,290123929.0,3043757831.0
57,21139128374.0,4515764911.0,3495149105.0,831129788.0,2664019317.0,1261206683.0,436123902.0,474074151.0,172330272.0,208844554.0,51301977.0,112654750.0,261093189.0,2651804173.0
63,18645042703.0,3981491901.0,3058356087.0,631767294.0,2426588793.0,1126257616.0,425701766.0,426522654.0,147982769.0,177847078.0,47953204.0,110121520.0,227293227.0,2393802893.0
69,18265210736.0,3779026613.0,2884284493.0,548966319.0,2335318174.0,1066938676.0,407393698.0,419642154.0,137738221.0,163076821.0,47537868.0,111437088.0,217520444.0,2282647044.0
75,17942991760.0,3723095383.0,2801803363.0,548818468.0,2252984895.0,1022068423.0,384505819.0,417396047.0,124336019.0,155144788.0,45486573.0,117695223.0,217445183.0,2187127008.0
81,17532878340.0,3633318702.0,2708160144.0,486381304.0,2221778840.0,1021001433.0,373981973.0,413469868.0,112698115.0,148659352.0,43778991.0,115848990.0,212275999.0,2156743787.0
87,17415409638.0,3631819916.0,2669181052.0,477271647.0,2191909405.0,1008944088.0,369395665.0,411902852.0,104035894.0,140236140.0,46093112.0,113506145.0,215838863.0,2133347983.0
93,17069493576.0,3568971378.0,2588316182.0,464165608.0,2124150574.0,986330413.0,336903983.0,417122318.0,89461517.0,131982922.0,49762555.0,118285328.0,217061574.0,2072554368.0
99,16779681324.0,3559771017.0,2566555782.0,519529549.0,2047026233.0,933543184.0,325208252.0,419560026.0,82534102.0,125008137.0,55316913.0,123824564.0,219128871.0,2005021674.0
105,16533969432.0,3420966822.0,2395408491.0,434494679.0,1960913812.0,861371572.0,299677453.0,436397073.0,72485052.0,113224967.0,65832146.0,131063732.0,223457520.0,1924316991.0
111,15967662111.0,3353556695.0,2333283405.0,422520236.0,1910763169.0,821950405.0,292562784.0,444035345.0,58965016.0,99427613.0,70534831.0,134615210.0,224111807.0,1871680994.0
117,15753630867.0,3278018382.0,2233199664.0,412178239.0,1821021425.0,782625125.0,248528327.0,443952521.0,47348834.0,88463511.0,70119687.0,148731100.0,228765775.0,1787493565.0
